,date,TMAX,TMIN,TAVG
26,2013-01-10,46.0,25.0,35.5
26,2010-01-10,43.0,21.0,32.0
26,2009-01-10,44.0,20.0,32.0
26,2011-01-10,12.0,-3.0,4.5
26,2021-01-10,32.0,19.0,25.5
26,2018-01-10,57.0,24.0,40.5
26,2012-01-10,59.0,32.0,45.5
26,2019-01-10,61.0,28.0,44.5
26,2016-01-10,32.0,5.0,18.5
26,2020-01-10,31.0,9.0,20.0
26,2017-01-10,52.0,32.0,42.0
27,2018-01-11,43.0,21.0,32.0
27,2009-01-11,47.0,18.0,32.5
27,2023-01-11,38.0,27.0,32.5
27,2019-01-11,44.0,32.0,38.0
27,2017-01-11,56.0,21.0,38.5
27,2015-01-11,40.0,27.0,33.5
27,2010-01-11,47.0,21.0,34.0
27,2021-01-11,44.0,17.0,30.5
27,2011-01-11,13.0,-3.0,5.0
27,2013-01-11,43.0,0.0,21.5
27,2016-01-11,40.0,12.0,26.0
27,2012-01-11,45.0,-6.0,19.5
27,2022-01-11,57.0,30.0,43.5
27,2020-01-11,43.0,7.0,25.0
28,2022-01-12,58.0,30.0,44.0
28,2013-01-12,10.0,-12.0,-1.0
28,2020-01-12,44.0,20.0,32.0
28,2019-01-12,35.0,17.0,26.0
28,2015-01-12,28.0,22.0,25.0
28,2017-01-12,40.0,18.0,29.0
28,2010-01-12,56.0,20.0,38.0
28,2012-01-12,40.0,-5.0,17.5
28,2018-01-12,46.0,24.0,35.0
28,2009-01-12,39.0,13.0,26.0
28,2011-01-12,32.0,-5.0,13.5
28,2023-01-12,41.0,16.0,28.5
28,2021-01-12,54.0,17.0,35.5
28,2016-01-12,45.0,19.0,32.0
29,2010-01-13,56.0,30.0,43.0
29,2018-01-13,48.0,19.0,33.5
29,2017-01-13,39.0,18.0,28.5
29,2011-01-13,49.0,25.0,37.0
29,2015-01-13,32.0,22.0,27.0
29,2022-01-13,62.0,34.0,48.0
29,2019-01-13,35.0,17.0,26.0
29,2016-01-13,51.0,22.0,36.5
29,2021-01-13,63.0,37.0,50.0
29,2023-01-13,47.0,20.0,33.5
29,2013-01-13,11.0,-10.0,0.5
29,2020-01-13,46.0,15.0,30.5
29,2009-01-13,48.0,15.0,31.5
29,2012-01-13,44.0,22.0,33.0
30,2016-01-14,44.0,28.0,36.0
30,2023-01-14,59.0,33.0,46.0
30,2009-01-14,45.0,25.0,35.0
30,2018-01-14,56.0,21.0,38.5
30,2020-01-14,58.0,19.0,38.5
30,2017-01-14,42.0,22.0,32.0
30,2013-01-14,12.0,-8.0,2.0
30,2019-01-14,43.0,20.0,31.5
30,2010-01-14,43.0,25.0,34.0
30,2011-01-14,51.0,27.0,39.0
30,2021-01-14,46.0,24.0,35.0
30,2022-01-14,45.0,24.0,34.5
30,2015-01-14,41.0,19.0,30.0
30,2012-01-14,59.0,19.0,39.0
31,2011-01-15,47.0,29.0,38.0
31,2023-01-15,43.0,29.0,36.0
31,2013-01-15,35.0,-8.0,13.5
31,2012-01-15,56.0,35.0,45.5
31,2018-01-15,30.0,-3.0,13.5
31,2022-01-15,50.0,18.0,34.0
31,2020-01-15,47.0,15.0,31.0
31,2016-01-15,33.0,19.0,26.0
31,2021-01-15,45.0,16.0,30.5
31,2009-01-15,47.0,23.0,35.0
31,2019-01-15,46.0,21.0,33.5
31,2015-01-15,55.0,23.0,39.0
31,2010-01-15,46.0,23.0,34.5
31,2017-01-15,35.0,22.0,28.5
32,2015-01-16,60.0,30.0,45.0
32,2020-01-16,37.0,18.0,27.5
32,2011-01-16,51.0,25.0,38.0
32,2022-01-16,57.0,22.0,39.5
32,2009-01-16,61.0,31.0,46.0
32,2017-01-16,35.0,27.0,31.0
32,2023-01-16,47.0,24.0,35.5
32,2018-01-16,34.0,-4.0,15.0
32,2012-01-16,42.0,14.0,28.0
32,2010-01-16,58.0,26.0,42.0
32,2019-01-16,46.0,29.0,37.5
32,2016-01-16,37.0,11.0,24.0
32,2013-01-16,48.0,23.0,35.5
32,2021-01-16,48.0,24.0,36.0
33,2017-01-17,46.0,17.0,31.5
33,2010-01-17,54.0,29.0,41.5
33,2022-01-17,62.0,24.0,43.0
33,2018-01-17,51.0,15.0,33.0
33,2021-01-17,50.0,26.0,38.0
33,2016-01-17,38.0,12.0,25.0
33,2015-01-17,54.0,35.0,44.5
33,2011-01-17,57.0,38.0,47.5
33,2013-01-17,48.0,21.0,34.5
33,2019-01-17,54.0,32.0,43.0
33,2023-01-17,35.0,24.0,29.5
33,2009-01-17,57.0,24.0,40.5
33,2020-01-17,55.0,19.0,37.0
33,2012-01-17,29.0,2.0,15.5
34,2013-01-18,59.0,29.0,44.0
34,2015-01-18,63.0,37.0,50.0
34,2010-01-18,53.0,28.0,40.5
34,2018-01-18,65.0,28.0,46.5
34,2009-01-18,62.0,31.0,46.5
34,2012-01-18,48.0,12.0,30.0
34,2017-01-18,52.0,21.0,36.5
34,2021-01-18,39.0,22.0,30.5
34,2023-01-18,27.0,17.0,22.0
34,2022-01-18,58.0,24.0,41.0
34,2019-01-18,41.0,23.0,32.0
34,2011-01-18,50.0,28.0,39.0
34,2020-01-18,45.0,12.0,28.5
34,2016-01-18,51.0,22.0,36.5
35,2023-01-19,32.0,8.0,20.0
35,2018-01-19,67.0,35.0,51.0
35,2012-01-19,61.0,32.0,46.5
35,2009-01-19,64.0,33.0,48.5
35,2022-01-19,31.0,17.0,24.0
35,2010-01-19,43.0,26.0,34.5
35,2011-01-19,41.0,12.0,26.5
35,2015-01-19,58.0,31.0,44.5
35,2019-01-19,48.0,22.0,35.0
35,2016-01-19,40.0,26.0,33.0
35,2020-01-19,46.0,11.0,28.5
35,2021-01-19,40.0,21.0,30.5
35,2017-01-19,54.0,22.0,38.0
35,2013-01-19,57.0,25.0,41.0
36,2020-01-20,52.0,18.0,35.0
36,2012-01-20,56.0,30.0,43.0
36,2018-01-20,48.0,27.0,37.5
36,2016-01-20,49.0,25.0,37.0
36,2009-01-20,67.0,30.0,48.5
36,2023-01-20,27.0,12.0,19.5
36,2015-01-20,43.0,26.0,34.5
36,2013-01-20,46.0,15.0,30.5
36,2022-01-20,39.0,16.0,27.5
36,2021-01-20,59.0,22.0,40.5
36,2017-01-20,45.0,26.0,35.5
36,2019-01-20,55.0,33.0,44.0
36,2011-01-20,39.0,6.0,22.5
36,2010-01-20,35.0,23.0,29.0
37,2018-01-21,28.0,23.0,25.5
37,2023-01-21,29.0,13.0,21.0
37,2015-01-21,30.0,16.0,23.0
37,2012-01-21,66.0,30.0,48.0
37,2020-01-21,52.0,30.0,41.0
37,2010-01-21,44.0,19.0,31.5
37,2009-01-21,71.0,41.0,56.0
37,2013-01-21,56.0,17.0,36.5
37,2021-01-21,49.0,26.0,37.5
37,2017-01-21,42.0,19.0,30.5
37,2019-01-21,58.0,22.0,40.0
37,2011-01-21,45.0,24.0,34.5
37,2016-01-21,40.0,21.0,30.5
37,2022-01-21,36.0,16.0,26.0
